Gene Symbol	Gene ID	
U6	-	
CYP2C49	403215	
RIN1	100520715	
TMOD3	397556	
LECT2	100518899	
PIK3C2G	100523844	
LHX8	100310798	
SMAD9	100153584	
SLC22A6	-	
ZBTB49	100524264	
HLF	100736723	
XPO4	100519559	
TSPEAR	-	
U6	-	
PLP2	100512511	
ESRP1	100156237; 100512961	
FUBP3	100524188	
SAMD5	100522528	
DBT	100156530	
IDH2	100155880; 397603	
PRMT1	100286877	
MIB1	100628163	
CLP1	100520541	
WHSC1L1	100520868	
KANK1	100626649; 100154326	
5S_rRNA	-	
U6atac	-	
HIVEP1	100519608	
U6	-	
YPEL5	100620823	
BVES	100153106	
CTSB	100037961	
5S_rRNA	-	
FKBP2	100522180	
ACAD9	100621922	
ADAMTS5	100522952	
ORF	-	
TAF5L	100155476	
7SK	-	
BTG3	100048957	
PSMC2	100514865	
ARMCX3	100521421	
ZKSCAN1	-	
CYSLTR1	-	
IGF1R	397350	
U6atac	-	
PARP14	100153948	
C20ORF94	-	
KIAA1324	-	
COPZ2	-	
PVRIG	100512708	
CHTOP	100153064	
U6	-	
PADI1	100524567	
IL20RB	100620875	
STIP1	100623923	
DYDC2	100525130	
ANO2	102166385; 100521792	
SRD5A1	100518046	
MTRR	100516580	
UQCRFS1	-	
IFN-DELTA-4	100152899	
ISCA1	100516824	
U6	-	
TTI1	100154931	
OLA1	100155803	
SERPINA3-3	396685	
RERG	100155884	
HDAC3	100511372	
WAC	100517599	
ARFIP1	100518024	
FKBP7	100144630	
TMED10	100158015	
SCML1	100521306	
U6	-	
AAGAB	100517743	
C22ORF25	-	
MAGEL2	100154924	
FKBP2	100522180	
TSC22D1	100155900	
FBXO44	100736592	
BCAN	100738802	
ITGB8	100037284	
SNORA18	-	
FDXR	100512919	
RRBP1	100154945; 100155369	
STT3A	100511525	
CARD14	100514004	
SLC22A4	100271724	
CRABP1	100169745	
PEX6	100126288	
ANKRD28	100152333	
LRWD1	100520239	
ROBO4	100524821	
GRB10	100188977	
ADARB1	100738427	
IFT122	100512559	
CRB3	-	
CCDC120	100511487	
WDR65	100520084	
ABHD13	100154680	
ANXA11	100156481	
LHB	397153	
GOLGA7	-	
TMEM214	100524558	
CSN1S1	445514	
RNaseP_nuc	-	
ESD	397127	
KRTCAP2	100154274	
SETBP1	100737551	
IL1RAPL2	100157100	
C5ORF52	-	
SFTPC	733580	
USP2	100520041	
CCKBR	100625698	
RUSC2	100158062	
CCNC	100153639	
ZDHHC12	100519816	
ZC3H12B	100151923; 100623018	
LHX5	100153154	
SNTN	100519514	
RPUSD1	100524553	
U6	-	
STAU2	100516319	
FBN2	100048956	
TEF1	100216478	
CSTF2	100515986	
SERTM1	100154799	
ALDOB	100515523	
FILIP1L	100157058	
LRGUK	100526023	
PSPH	100316854	
BRD8	100518182	
NCLN	100518176	
FKBP5	100155423	
RALY	100157085	
KIRREL3	100515566	
NRAP	733691	
HEY1	100157952	
UACA	-	
PKN1	100516063	
C9ORF131	-	
MIPEP	100155148	
INSR	396755	
TMEM111	-	
ACTL6B	100516853	
C19ORF50	-	
SPINT1	100157387	
TACC1	100523215; 100624903	
RADIL	100511556	
ENOPH1	100511394	
SEPT14	100519083	
ANKRD27	100524146	
NCAM2	-	
GL	100049681	
SHISA2	100739731	
GPI	397602	
DALRD3	100525127	
QRSL1	100627457	
GMPPB	100513376	
LIFR	397451	
SPO11	100125974	
PTPN11	100170851	
TCERG1L	-	
MED27	414430	
FAM46A	100156873	
AP2A1	100520250	
U6	-	
HUWE1	100153169; 100517442	
MRPS26	100157874	
USP13	102166886; 100524109	
TMEM87A	100154984	
FICD	100155414; 100626979	
PALM2	100152369	
PPL	100512773	
BCS1L	100626589	
SIRPB2	-	
C20ORF70	-	
RPL13	100628232	
TNFSF18	100516458	
RPL24	100521642	
TMEM59	733610	
DCDC2	100153025	
EGLN2	100523673	
KIAA0146	-	
RAB28	100144497	
SPRYD4	-	
WDFY3	100523387	
ZDHHC8	100157140	
LRRC8A	100154730	
OXA1L	-	
ATP6V0A2	100154525	
P	-	
U6	-	
PREPL	100526165	
TPO	445522	
POLR2I	414403	
C5ORF63	-	
ABR	100522463	
MAP3K13	100515448; 100153682	
PLA2G2A	100738064	
C2ORF55	-	
CECR2	100737051	
TCEAL4	100153499	
SRPX	100156108	
SRP72	100520920	
SLC10A7	100192449	
CPNE8	100519777	
RACGAP1	100517651	
WDR4	100620715	
DSN1	100152867	
SCARNA18	-	
TAAR6	100154422	
U6	-	
PLG	733660	
CNIH3	100522393	
7SK	-	
5S_rRNA	-	
KCNAB3	100523637	
ZNF74	100626009	
NME6	100520587	
C11ORF30	-	
HIST1H2BA	-	
AIMP2	100514707	
GTF3C5	100514889; 102157976	
MRPL18	100156324	
ANKDD1B	100518825	
GGN	100515664	
PPP1R11	100141423; 100153294	
U1	-	
MOG	100141421	
MAN2B1	100518647	
DOCK10	100512141	
PHEX	100154258	
NUP214	100155564	
IGFBP6	100101923	
CDKN2D	100525560	
NPY5R	-	
7SK	-	
5S_rRNA	-	
SLC10A4	100520624	
CHMP4B	100516767	
HUNK	100739691	
PPIG	100155786	
VMP1	100524644	
KCMF1	-	
FKRP	100516858	
POLE2	100521651	
TCTE1	100156326	
C19ORF12	-	
CKAP4	100523493	
ELMOD3	100519304	
C1ORF53	-	
PIGRAD51	-	
CDKN2AIPNL	100513343	
U2	-	
FGF10	100525086	
U6	-	
SLC51A	-	
SRSF3	-	
CH242-196P17.1	-	
PIGU	100154657	
TCOF1	100516425	
SLC9A9	100517680	
CARM1	100294705	
AAGAB	100517743	
COX17	100156799	
CREB3L3	100522979	
CLPTM1L	100520811	
CD86	397441	
FGD5	100513495	
ADAM15	100153483	
5S_rRNA	-	
GABARAPL2	100521968	
OTX1	100520485	
NDUFA10	100521478	
KAZN	100520199	
ALDH2	733685	
U6	-	
RGS3	100517994	
PARVB	100739768	
TRMT61B	100520017	
PUS10	100523369	
SFRP1	100621622	
FAM151B	100511985	
FYB	100520112	
TBX18	100152747	
LETM2	100152854	
EIF3M	100513781	
WDR12	100512929	
C9ORF117	-	
ZDHHC24	100737869	
TCF3	100524070	
FAM71E1	100511996	
RBM15	100155227	
CREBRF	100523409	
TLK1	100157412	
AP2B1	100620457	
ARHGEF9	100512575	
CXCL12	494460	
KLHDC2	-	
GYS2	100157080	
KLHL20	100623588	
PLD2	414900	
U6	-	
DCAF8	100153655	
FKBP11	100524935	
KCTD5	-	
FERMT1	100157961	
RNF145	100520283	
B2M	397033	
AMIGO2	100152349	
ADPRHL1	-	
PCDH10	-	
AMN	100157003	
DCTN5	-	
FLT-1	-	
SLC4A4	503546; 100519767	
MTERFD1	100152384	
DHDPSL	-	
MND1	100517105	
PLEKHB2	-	
U6	-	
MGAT5	100512563	
ATG9A	100155182	
SNORD18	-	
LXR	-	
U6	-	
CCNJL	100626618	
EXOSC9	100521809	
CRYBB3	100157434	
RPP40	100522444	
COPS7B	-	
SLC7A3	100171387	
NDRG3	100620657	
CR1	100514723	
U6	-	
U6	-	
GZF1	100514928	
SNORA1	-	
ENO3	692156	
KLHDC3	100125975	
SNORD16	-	
DNM1	100153921	
FGGY	102166471; 100525819	
SLC30A1	503660	
ssc-let-7e	-	
OR52B6	-	
INPPL1	100462718	
DACH1	100156238	
HCST	397267	
SELK	733604	
MESP2	100153433	
LAMB3	100513489	
SYCP2	100134968	
A1CF	100155074	
FMOD	100526237	
GNA13	100522824	
CCNH	100310796	
RIN2	100625676	
HSDL1	100516372	
PSMC1	100155274	
CISD1	-	
KCNS3	733666	
CAT	397568	
U6	-	
A2ML1	100152492	
ARID2	100625757	
5S_rRNA	-	
ZCWPW1	100513075	
C2ORF40	-	
CH242-117I7.3	-	
MYOZ1	574060	
TNN	100520506	
IMPG1	-	
TAF5	100152210	
TUBA1C	-	
PIGV	100525584	
TDRD12	100523608; 102162257	
HUMMLC2B	-	
MYPN	100624901	
OR12D3	-	
U6	-	
C11ORF58	-	
IL25	100154041	
TTC17	100521838	
KIAA1704	-	
EPHB3	100337659	
CT120	100127491	
GJD4	100525659	
PRKAB2	100157793	
PEF1	100520792	
GXYLT2	100511227	
SLC24A6	-	
CIZ1	100157558	
GRAMD1A	100513658	
CSNK1E	100523244	
KLHL9	-	
SLC37A4	100516688	
ZNF541	100519367	
SH2D7	100154016	
OSBPL5	100515995	
PPCS	100523850	
CLCN3	100156049	
NEO1	100156504	
ENPP4	100738210	
NRM	100144454	
GNB1L	100153889	
VPAC1	100155402	
BCL2L12	100521559	
ATG13	100516128	
TMX3	100518050	
TRIM15	100144461	
BLVRA	100515289	
CSRP1	-	
SNORD22	-	
HIST1H3H	-	
COPS5	100125955	
TMEM161B	100518540	
DDHD2	100156104	
RHOT1	100523466	
ALAS2	100518817	
ZDHHC1	100525400	
SCG5	397110	
RBM10	100525622; 100524537	
SPATA22	100415924	
ABCB9	100155346	
C12ORF65	-	
TRIM23	100513958	
PDZK1	100152549	
CFI	100516921	
GFRAL	100521501	
ASB15	100513190	
HS3ST2	100522426	
GALNS	397000	
GINS1	-	
SRRM2	100511011	
RNFT2	100519873	
CYB561	100048996	
PTTG1	397015	
VPS33A	100049702	
STAP2	100523772	
DDI2	100519198	
LRP2BP	100155710	
CLPX	100151784	
FAM164C	-	
SH3BGRL	-	
FBXO21	100157989	
Vault	-	
STAG2	100154944	
CCDC23	102167074	
IZUMO4	100514821	
SNORD112	-	
PDZD11	414386	
CA10	100519048	
RHOBTB3	100523594	
PYY	100512433; 445018	
PPME1	100624455	
POLR1D	100627477	
ssc-mir-432	-	
TET3	100520484	
CHST12	100524793	
THADA	-	
MATR3	100521716	
HRG	100152095	
TMEM201	100517949	
EPHX2	414425	
EPHX2	414425	
UGPP	397008	
RPS25	100516385	
ERBB2IP	100511418; 100511602	
RALY	100157085	
DNAJA1	100512008	
KLIP-1	396694	
RSPO4	100518279	
C14ORF2	-	
HDHD2	100521177	
RABL5	-	
POLD3	100626052	
OR56A1	-	
GOPC	100520524	
IFN-ALPHA-14	100310804	
GIT2	100154195	
RRAGD	100156654	
IGLV-8	-	
TMEM174	100514450	
CILP2	100518061	
SLC5A4	397376	
7SK	-	
ZCCHC3	100519451	
TRIM43	-	
DOPEY1	100154796	
PIEZO2	100620725	
CHUK	100135662	
U6	-	
KRT26	100523992	
DDX60	100158037	
AATK	100627757	
TOP2B	100156319	
MRPL35	100517705	
C8ORF46	-	
U6	-	
TRDMT1	100302362	
MYCBPAP	100513622	
BCKDHA	100142666	
KLHL22	100156352	
COMMD3	102167371	
PPP4R2	100626659	
GAS2L1	100513569	
RORB	100739111	
GPR37	100523220	
ARRDC2	100519298	
H1F0	-	
TOR1B	100153472	
SDC3	100516859	
NCR3	100270822	
TOR1B	100153472	
OLIG3	100153431	
SNORD113	-	
KRT25	100524337	
ETFA	396615	
FGFR4	100127133	
COL11A2	100520915	
SNX24	100526158	
RPL8	100154456	
ZNF606	100627562; 102158443	
C1ORF186	-	
ATP8B2	100517341	
EPHA3	100337658	
FAH	100623036	
snosnR61	-	
LRRC27	100737235	
PPA1	100155201	
RDH10	100127136	
SETD5	100152258	
MIA3	-	
KCNG1	100134965	
CLCN1	100520812	
HGFAC	-	
RHBDL2	100514296	
SIT1	100153191	
C3ORF67	-	
UCHL3	768115	
STX7	100153196	
CORO1B	100511677	
C6ORF62	-	
CHD8	100152723; 100156733	
PTBP1	397461	
SZT2	100521458	
FXYD6	102158732	
P2Y12R	503659	
NPM2	100154488	
C12ORF12	-	
EHBP1	100520668	
TEK	396729	
HELZ	100524104	
EEF1D	100737048	
KAT6A	100523576	
ITGA2	397483	
PLA2G1B	445525	
FH	100627128	
PSMD4	733583	
KIAA0146	-	
CRCT1	100153482	
C15ORF48	-	
PIBF1	102165949	
TYW1	100516854	
GPN3	100158156	
ANKMY2	100627896	
KIRREL3	100515566	
PFMK	-	
RNF26	100738035	
U6	-	
GRK5	100152937	
GALK1	100521514	
RBM42	100520432	
LAMC1	100127442	
DHX15	100517041	
CSNK1A1	100514516	
TMEM187	100524010	
RELL1	100522085	
SLAMF7	100154053	
UBE2O	100519047; 100517420	
CDK13	100519067	
ZNF250	-	
CDKN3	397589	
CACNA2D1	397377	
NKTR	100523331	
TRAK1	100522277	
AKT3	100127477; 100513811	
WDR62	100144885	
RGS12	100620283	
SMAGP	-	
PITX3	100154216	
SPAG5	100286810	
TBRG4	-	
CYSLTR2	397243	
SLIT1	100627880; 100157185	
ATRNL1	100157106	
BAI2	100739244	
OSBPL9	100517719	
NISCH	100156417	
C11ORF68	-	
TBL1Y	-	
PARG	100522038	
RNF146	100512692	
MOSPD2	100153601	
EZH2	100625497	
FDX1L	100526209	
TRAF5	396616	
UTRN	100523292	
RAPGEF1	100511735	
PLCB1	-	
CCDC62	100158164; 100520106	
PCYT1B	100152643	
GAL3ST4	100511123	
PLCG1	100152497	
MICU1	100155980	
U6	-	
ADSS	100048942	
GPR15	100153787	
PTGER1	100515879	
ARL3	595114	
U6	-	
ssc-mir-30b	-	
PHEROC	100144470	
CCDC136	100519523	
SUN2	100513792; 100521622	
PDIA5	100518582	
KRT84	100622023	
EIF2B1	100156140	
MCOLN1	100524240	
CELA1	396766	
BCL7B	100625962	
SCARNA18	-	
TMEM102	100623827	
DDIT3	100240743	
PLUNC	-	
EEA1	100153403	
ZBTB33	100514145	
IL3	-	
PPARALPHA	-	
TSNAXIP1	100520430	
TMEM65	100157797	
CALCR	397638	
THEG	100517267	
GOLGA4	100157001	
FBXL17	100513341	
SPC25	100517976	
DNAJC24	100515252	
DAO	-	
LYPD6	100521871	
STK16	100153147	
FKTN	-	
PPIA	397637	
RNF150	100624789	
SLC13A5	100520976	
WFDC5	100626267	
NFIB	100155995	
CHURC1	100514910	
ZACN	100623825	
ZC3H3	100517159	
5S_rRNA	-	
MAPK4	100523414	
TUBB4B	100516352	
ZYG11B	100739208	
IL8R1	-	
PLA2G6	100515081; 100514711	
ATG4A	100156732	
MAB21L3	100154970	
CDCA5	-	
ALKBH6	100523906	
STXBP1	100157141; 100517927	
ADAM10	397345	
CDC42BPB	100156588	
VRK1	100157930	
NAGK	100523729	
FAN1	100154519; 100525727	
PRELID1	100512335	
BTG2	100048932	
SLC22A15	100153759	
LASS4	100127167	
C10ORF76	-	
RBMS2	100522738	
5S_rRNA	-	
REV1	100522795	
C12ORF41	-	
EPC2	100518870	
FAM3C	100511668	
GLYCTK	100522516	
CDH7	100156376	
EIF2C4	100499507	
U1	-	
U6	-	
CYB561D1	-	
ZCCHC10	-	
SERINC2	100626004	
ACBD7	-	
ZNF558	100514703	
FOSL1	100525205	
DCDC2	100153025	
INVS	-	
EXOC4	100526194	
ANKRD13A	100522465	
CH242-363A10.1	-	
TMEM223	100620450	
PAPD4	100512336	
CWC22	100520592	
NARFL	100519650	
APC10	100415930	
PLEKHA2	100522834	
CHD2	100156869	
POLR2K	100524560	
CD6	100513519	
WWC3	100157216	
HADHA	397012	
GYS1	574064	
RARS	414410	
RALYL	-	
C22ORF25	-	
TCP11L1	100621866	
FGF1	-	
U6	-	
LASS2	-	
FBXL5	100511143	
PHAX	100515013	
TAF7	100523236	
DYX1C1	100513251	
ARL4D	100516931	
ZFYVE20	100628239	
RDH8	100517329	
MIPOL1	100153333	
KLC4	100157157	
JAKMIP3	100624964	
HOXC4	100154759	
U6	-	
CHDH	100151982	
C7H6ORF31	-	
COL23A1	100521775	
CYP2C33	403107	
RAD54L	100141305	
CTGF	-	
IL18RAP	100517818	
SNORA4	-	
ZNF366	100519576	
C12ORF53	-	
DPH3	100156362	
EIF4G3	100516495	
HGSNAT	100517562	
APOM	692188	
MFSD6L	100514186	
HEY2	100152404	
KBTBD4	100511244	
ZNF354A	100621931	
LAMB1	396707	
SNORA53	-	
ASRGL1	100517023	
SYT2	100511582	
KL	100519728	
RBAK	100620178	
FAM219B	-	
U6	-	
PIK3R1	100286865	
SCFD2	100738927	
FHL3	396986	
DEFB125	-	
SGPP1	100626032	
ANK1	100155697; 100157679	
U6	-	
PDYN	445529	
TRPV3	100515051	
UBA6	100512547	
ARPC3	100154518	
5S_rRNA	-	
TNIP2	100518977	
TNF	397086	
TSSC1	100626341	
MCM8	100154307	
KBTBD12	100156499	
TCIRG1	100521769	
SERPINA11	100620680	
LGALS7	100217394	
HINT1	-	
GPR114	100621610	
TRH	100513309	
TFIIH	-	
CATSPERB	100512175; 100153660; 100152829	
RPTOR	-	
HEMK1	100518515	
NKL	396869	
NXPH2	100523516	
PIP4K2C	100516802	
U6	-	
KIAA0825	100521610	
OR4K13	-	
DDX26B	100521835	
CAPN9	100154688	
LRRC8A	100154730	
C15ORF39	-	
WBSCR16	100513850	
ANGEL1	-	
TOP1MT	100517528	
TMEM222	100738723	
ADAM15	100153483	
WSCD1	100522103	
U11	-	
ZNF385A	100736804; 100155556	
DCAKD	100521290	
ZFP1	100622002	
CCDC85A	100511688	
WDR91	100524054	
ADSL	100170844	
LAMP-1	494565	
U2	-	
DSN1	100152867	
U6	-	
RUSC2	100158062	
TRIM9	100153738	
OR1N1	-	
LIMD2	100512735	
DYNLT1	100158053	
PAPLN	100523451	
SEC61A2	100511831; 448977	
ADAR	100523784	
APOA1BP	780405	
OSR2	100155180	
MFSD8	100516866	
GFPT2	100518539	
LARP6	100522415	
SIAE	100521812	
TEX264	-	
SNTB2	100620497	
TRADV14	-	
ATG2A	100462717	
TRIP4	100153164	
C15ORF52	-	
OTUB2	100151873	
PCDHA13	102160959	
HOXD1	100157662	
HFM1	100156806	
LRIG1	100521990	
COPB2	100156939	
SLC35G1	100156133	
7SK	-	
IL1RL1	100127134	
CCDC86	100526154	
SFRP5	100153176	
TONSL	100153638	
SNORD109A	-	
TCEB3	100620801	
HLX	-	
C3ORF23	-	
CNOT6L	100512848	
U6	-	
KCNK2	100627197	
PLIN2	397402	
CREG2	100517088	
U6	-	
UBE2N	100519842	
DUS2L	-	
C2ORF28	-	
SCAF11	100525109	
PTBP1	397461	
SLC44A4	100124377	
SNORD14	-	
HEATR5A	100152987	
COX7B	-	
RBCK1	100519985	
ATG12	100462745	
SET	100514028	
SLAMF1	100511325	
DDR	-	
TRY	100525899	
INTS6	100156695	
PPP6R2	100517282	
C19ORF33	-	
CABP1	100157460	
TREML2	-	
U6	-	
PLCXD2	100518335	
TIMELESS	100525747	
NAPB	100515106	
U6	-	
AK3L1	733667	
snoU13	-	
PEX11G	100511182	
TJP2	100513065	
MMP8	100523811	
THBS2	-	
5S_rRNA	-	
ATP5L	396956	
CDT1	100525749	
DALRD3	100525127	
MTR	397300	
GPR150	100516597	
DEGS1	100135677	
IFN-DELTA-1	396854	
TMEM144	100516327	
NES	100153933	
OR1N2	-	
PATZ1	100153931	
ATP5SL	-	
MYO1E	100154204	
SETD5	100152258	
NUMB	100522019	
LRRC6	100152481	
OLFM4	100737320	
C1QL2	100738874	
7SK	-	
CYGB	100518861	
UACA	-	
snoU13	-	
TDG	100155184	
DUSP5	100157144	
GLCCI1	100511149	
RPH3A	100736858	
VCAM1	396925	
ASCC1	100512075	
DEFB119	100157086	
RERG	100155884	
TTLL1	100621517	
SLA-DRB*K07G	-	
PCDH19	100515639	
AUP1	100518187	
MNS1	-	
FSHR	397679	
AP3M1	100155017	
SRD5A3	100523077	
DPM2	100522057	
BCAS3	100620226	
GRIA4	100524886	
CAMSAP3	100511741	
VEZF1	100511406	
ssc-mir-199b	-	
TRBC1	-	
CDC14B	100626260	
TAP	-	
ABCC3	100513231	
U2	-	
SLC45A1	-	
MFSD5	100157167	
GTF2F1	100516955	
PLUNC	-	
ssc-mir-204	-	
RPL5	100135671	
G6PC3	100512070	
ALKBH8	100626321	
FEZ1	100511148	
BDP1	100517687	
LEMD2	100511389	
DAAM1	100517445	
ATAT1	100144480; 100152752	
PSMD4	733583	
GOLIM4	100517915	
CSNK1E	100523244	
C4BPB	100520583	
EBP	100312968	
U1	-	
EVX1	100518282	
LTB	100155581	
SLC25A17	100517713	
ZNF697	100154558	
ITGB8	100037284	
CLDN14	100302017	
CYP2R1	100124375	
DDX52	100623826	
HIC2	100151900	
U6	-	
EFS	100158092	
ALOX15B	100525835	
U6	-	
MUSK	100515121	
PTBP2	100515203	
PANK2	100520054	
TMEM178B	-	
CAMK2B	100516166	
SNORA19	-	
GSR	396625	
CHST7	100521649	
KIAA2026	100520352	
EPO	397249	
C2CD2	100628208	
GNG12	100270820	
PDHB	100516042	
MYL3	100515755	
U3	-	
MTX2	733591	
C1QL3	100524890	
SMUG1	100153912	
GPR137	100524971	
C20ORF177	-	
UBR7	100153874	
U6	-	
HOXD13	100152793	
CACNG6	100519779	
FAM65A	100522138	
TMEM138	100519941	
NPM1	100525313	
C11ORF82	-	
7SK	-	
CYB5D2	-	
ECE1	397446	
ESF1	100155396	
LRTM1	-	
MAGT1	100517568	
TRAJ39	-	
IL28A	-	
PPFIBP1	100516194	
F11R	100127138	
LACTBL1	100519718	
EIF3A	100156570	
CCDC86	100526154	
OVCH1	100512535	
CCDC159	100515600	
SMARCB1	100154735	
TTC17	100521838	
ZNF175	100514293	
ADK	100154626	
DUSP2	100622812	
U6	-	
MLLT4	100514741	
TIMELESS	100525747	
LY9	100155269	
MITF	414902	
RPL36	100512647	
MBOAT2	102160090	
UPF3B	-	
MAPRE1	733687	
SV2A	100156610	
POLR3K	100521261	
HES3	100737699	
IFN-ALPHA-14	100310804	
TNFRSF14	-	
PHF20	100739521	
SRP9	100524270	
KIAA1429	-	
C10ORF137	-	
CD9	397067	
GNL3L	100521120	
MAGEB16	-	
PRKAB1	100156537	
RNF2	100517846	
TMEM173	100217389	
CWF19L2	100217380	
C11ORF30	-	
U6	-	
LRAT	100513994	
SNORA54	-	
GBA	449572	
HDGFL1	100156270	
SNORA49	-	
ZNF606	100627562; 102158443	
MON2	100154568	
SNORA63	-	
SRRD	100155268	
SLC39A11	102164825; 100518214	
CYP2D6	-	
ABHD4	100154266	
DNAJC9	-	
KRT222	100524521	
RGS5	397640	
GDF9B	-	
PSMD9	100525255	
CAMSAP3	100511741	
PAPOLA	100156323	
XPA	100522779	
CEBPD	100153946	
FAM108C1	-	
PRPF39	100153928	
UFL1	-	
PDZD11	414386	
DNAJA4	397613	
ABRA	100154546	
FTH1	397030	
PTPMT1	100514336	
CC2D2A	100510970	
CH242-238L13.2	-	
SNAPC1	100521309	
KTN1	100152397	
C19ORF39	-	
ACTN4	100517284	
GATAD1	100627096	
ZBTB32	100627119	
ESPNL	100518403; 100623173	
SDR39U1	100152844	
C1ORF111	-	
C5ORF35	-	
NXNL1	-	
S100A16	100155146	
NUDCD2	100515244	
NBN	100153233	
COIL	100525713	
PTGR2	100156930	
UTRN	100523292	
CD79-ALPHA	-	
RAB38	-	
TMEM93	-	
C12ORF32	-	
HSD3B7	100525281	
FSIP2	100153602	
ACSL5	100157521	
GPR3	100512611	
RECK	100519638	
ATP6V1E2	100736975	
OSR2	100155180	
STK33	100627286	
HRASLS	100522036	
OR6M1	-	
UHRF1BP1L	100511566	
PIKFYVE	100521692	
UBTD2	100621592	
UCHL5	100144472	
SLA-DMA	445528	
CLIP1	100153677	
WDR47	100155903	
PRKCQ	100621326	
U6	-	
HSD17B8	100154372	
DNAJC19	100154656	
IL-16	-	
HJURP	100154630	
U12	-	
GHITM	100156458	
C3ORF52	-	
7SK	-	
FAM169A	100518001	
SERPINA1	397688	
GNPTG	100522604	
COX6C	100037989	
PXDN	100516076	
HSPA4	100524853	
U6	-	
AP1B1	100157709	
BCAS3	100620226	
U6	-	
BAG1	100513225	
SF3B4	100157814	
SNAP91	100521763	
DYX1C1	100513251	
ITGA5	100155091	
TMP-SLA-3	-	
U6	-	
NFKB2	100153829	
U6	-	
C6ORF204	-	
U6	-	
NYX	100620950	
AMPD1	100101472	
BZW1	100152909	
ATP8B1	100153006	
PGCP	100157979	
PRRG1	-	
SNORD87	-	
TRABD	100519151	
C18ORF55	-	
RNMTL1	100522640	
AEBP2	100522805	
EBF3	100153848	
NAV2	100521947	
TET1	100625859	
LEPRE1	100620503	
FLOT1	100151746	
FAM122A	-	
ABCG2	397073	
FKBP4	100337672	
ABL2	100627019	
TRAPPC4	100516212	
H-FABP	-	
MAD2L1	-	
LAMTOR3	100526122	
NTN5	100524377	
GPX8	100515061	
VPS26A	100155086	
GRIP1	100514286	
ZFYVE1	100154908	
AKR1E2	733633	
C12ORF50	-	
CXCL14	494467	
ABLIM1	100154343	
CHRFAM7A	-	
STX6	100510921	
MRAP2	100515980	
METTL11B	100157210	
TBX3	100152741	
FBXL20	100517553	
CLPB	100524385	
NIPAL4	100523099	
RFC5	100153965	
FLVCR2	100217391	
CCL27	445453	
ZNF385A	100736804; 100155556	
TMEM93	-	
FAM173A	100526101	
PDZD9	100523540	
STT3B	100526009	
ssc-mir-127	-	
MRPL35	100517705	
GAS8	-	
ECSCR	100522859	
NUP133	100153047	
SNORA11	-	
SNORA42	-	
SHROOM1	100525213	
TLK2	100515573	
SNORA15	-	
SLC47A1	-	
U3	-	
ASB11	100154431	
BOD1L	-	
SLC25A19	100302700	
RAB39B	100516775	
ALDH1A1	-	
KLHL38	102160009	
PDL2	-	
5S_rRNA	-	
DDX52	100623826	
CRLF3	100525951	
ZO1	396567	
CD83	100153365	
ZNF286A	100627421	
CNNM1	100154357	
TPRA1	-	
AP2A2	100513262	
SMARCE1	100521398	
KYNU	100521160	
CHST15	100152393	
CLDN8	100302021	
TGFA	397484	
TANK	100156366	
TMEM80	100514388	
DHX37	100520983	
CTR9	100627268	
5S_rRNA	-	
CRYM	100525333	
NMUR2	100217382	
snoU13	-	
MYPN	100624901	
U2	-	
CORO2B	100520530	
ATG9A	100155182	
FAM83A	100152159	
METTL14	100525761	
NKX6-1	397289	
IFT57	100519335	
NCBP2L	-	
STRA6	-	
CPD	100517495	
GANC	100513637	
ITGB1BP1	100622267	
TTC27	100512832	
TSPAN7	100526026	
PDE8B	100522306	
BCL9	100155378	
ADCY1	100624934	
CCDC129	100512640	
CPEB4	100521758	
ENTPD5	100154506	
CTIF	100152137	
SNORA11	-	
C1ORF38	-	
GPRIN1	100525508	
MBD6	102165011	
U6	-	
SLC1A1	397003	
PACSIN3	100512824	
RCOR1	100155804	
TTC22	100620707	
EFTUD2	100522208	
RGS3	100517994	
PATE2	-	
MAOA	414424	
CNDP1	100516053	
7SK	-	
FGFR1OP	100153548	
TRIM42	100154919	
Y_RNA	-	
F2RL1	100519703	
PRMT1	100286877	
PRDX1	100512476	
DOCK7	100522877	
GHSR	397372	
STAM2	100157042	
GPD1L	100624347	
SNX27	100516009	
MID2	100157515	
TTBK1	100155509	
HSPA13	100152073	
MRPL15	100155047	
SNORD121A	-	
SNRNP27	100737104	
RCBTB1	100628042	
GLMN	100153954	
PSD	100157049	
ADCK2	100514083	
ITPKC	100524376	
ALS2CR8	-	
DNAJB12	100156234	
ATAD1	100157471	
CTSW	100525853	
C4ORF21	-	
RBM12B	100514101	
TRERF1	100154714; 100153071	
CTDSPL	100517189	
PTPLAD1	100154613	
U6	-	
TDRD3	100621705	
C19ORF50	-	
CD3G	494013	
FAM188B	100736970	
EDEM1	100738285	
TRIM35	100152706	
IQSEC1	100622196	
CHM	100523763	
IBTK	100153597	
PHLDB3	100520495	
HIP1R	100154116	
JAG1	100156773	
FAM185A	100512804	
GGTA1	396733	
FAM188A	100525772	
RARA	-	
RXFP1	100127453; 100623130	
GRAMD1B	100512979	
SNORD18	-	
RAB6C	-	
MAPKAPK5	100153404	
RPAP2	100517893	
INTS6	100156695	
ssc-mir-202	-	
GTF3C5	100514889; 102157976	
MTMR10	100525443	
HP	397061	
U6	-	
PCDHGC5	-	
CDH17	100157834	
PAK1	100525766	
DPP4	397492	
UBL7	100157747	
IGDCC4	100152226; 100513900	
AKT1S1	100519715	
